Industry,Day,Objective,Platform,Amount spent (IDR),Impressions,Reach,Link clicks
Skincare,16/06/2021,LINK_CLICKS,facebook,290703,58108,54864,1447
Skincare,16/06/2021,LINK_CLICKS,instagram,35483,8225,7728,73
Skincare,17/06/2021,LINK_CLICKS,facebook,285432,53945,49280,1341
Skincare,17/06/2021,LINK_CLICKS,instagram,41013,9503,8512,76
Skincare,18/06/2021,LINK_CLICKS,facebook,333533,49205,44064,1227
Skincare,18/06/2021,LINK_CLICKS,instagram,64795,13685,13685,93
Skincare,19/06/2021,LINK_CLICKS,facebook,281582,54184,49633,1255
Skincare,19/06/2021,LINK_CLICKS,instagram,158495,26732,26272,227
Skincare,20/06/2021,LINK_CLICKS,facebook,273575,54867,49824,1250
Skincare,20/06/2021,LINK_CLICKS,instagram,135856,25703,25703,223
Skincare,21/06/2021,LINK_CLICKS,facebook,264420,51885,47600,1259
Skincare,21/06/2021,LINK_CLICKS,instagram,78266,19075,18480,133
Skincare,22/06/2021,LINK_CLICKS,facebook,269996,50608,45952,1116
Skincare,22/06/2021,LINK_CLICKS,instagram,71033,16866,16496,140
Skincare,23/06/2021,LINK_CLICKS,facebook,256882,44405,41184,970
Skincare,23/06/2021,LINK_CLICKS,instagram,49986,14298,14298,81
Skincare,24/06/2021,LINK_CLICKS,facebook,258392,43209,39616,997
Skincare,24/06/2021,LINK_CLICKS,instagram,29336,10474,10432,92
Skincare,25/06/2021,LINK_CLICKS,facebook,247852,40085,37152,891
Skincare,25/06/2021,LINK_CLICKS,instagram,42951,8600,8600,74
Skincare,26/06/2021,LINK_CLICKS,facebook,255453,36980,33987,901
Skincare,26/06/2021,LINK_CLICKS,instagram,45857,9632,8929,83
Skincare,27/06/2021,LINK_CLICKS,facebook,253629,39990,36352,989
Skincare,27/06/2021,LINK_CLICKS,instagram,28099,6914,6752,81
Skincare,28/06/2021,LINK_CLICKS,facebook,259245,44718,41888,1057
Skincare,28/06/2021,LINK_CLICKS,instagram,27566,7970,7840,83
Skincare,29/06/2021,LINK_CLICKS,facebook,279774,43030,40289,988
Skincare,29/06/2021,LINK_CLICKS,instagram,27334,8280,8192,65
Skincare,30/06/2021,LINK_CLICKS,facebook,268777,38533,35735,1088
Skincare,30/06/2021,LINK_CLICKS,instagram,35228,6383,6383,77
Skincare,01/07/2021,LINK_CLICKS,facebook,49886,10879,9308,309
Skincare,01/07/2021,LINK_CLICKS,instagram,43100,5435,5360,50
Skincare,02/07/2021,LINK_CLICKS,facebook,102058,19657,17812,611
Skincare,02/07/2021,LINK_CLICKS,instagram,21228,3129,3129,20
Skincare,03/07/2021,LINK_CLICKS,facebook,281947,55329,50432,1338
Skincare,03/07/2021,LINK_CLICKS,instagram,58255,22024,21952,141
Skincare,04/07/2021,LINK_CLICKS,facebook,350336,56820,50432,1222
Skincare,04/07/2021,LINK_CLICKS,instagram,51929,20478,20478,155
Skincare,05/07/2021,LINK_CLICKS,facebook,283121,54610,50160,1221
Skincare,05/07/2021,LINK_CLICKS,instagram,76218,23504,22144,172
Skincare,06/07/2021,LINK_CLICKS,facebook,289900,52103,45504,1062
Skincare,06/07/2021,LINK_CLICKS,instagram,122557,35822,35792,228
Skincare,07/07/2021,LINK_CLICKS,facebook,294521,58557,54704,1264
Skincare,07/07/2021,LINK_CLICKS,instagram,99429,27081,26560,154
Skincare,08/07/2021,LINK_CLICKS,facebook,261905,57556,54064,1283
Skincare,08/07/2021,LINK_CLICKS,instagram,63899,25306,25040,153
Skincare,09/07/2021,LINK_CLICKS,facebook,260001,53297,49761,1283
Skincare,09/07/2021,LINK_CLICKS,instagram,62888,25635,24576,157
Skincare,10/07/2021,LINK_CLICKS,facebook,367804,51794,47199,1123
Skincare,10/07/2021,LINK_CLICKS,instagram,66285,24819,24080,170
Skincare,11/07/2021,LINK_CLICKS,facebook,241413,51216,47520,970
Skincare,11/07/2021,LINK_CLICKS,instagram,69944,28230,28064,161
Skincare,12/07/2021,LINK_CLICKS,facebook,284185,46181,42336,975
Skincare,12/07/2021,LINK_CLICKS,instagram,78295,29627,29616,161
Skincare,13/07/2021,LINK_CLICKS,facebook,234600,49409,43920,1011
Skincare,13/07/2021,LINK_CLICKS,instagram,80459,28039,27120,144
Skincare,14/07/2021,LINK_CLICKS,facebook,241259,49817,46063,995
Skincare,14/07/2021,LINK_CLICKS,instagram,94417,38779,38779,200
Skincare,15/07/2021,LINK_CLICKS,facebook,252493,52129,49680,949
Skincare,15/07/2021,LINK_CLICKS,instagram,100648,39325,38128,197
Skincare,16/07/2021,LINK_CLICKS,facebook,235624,46823,42978,953
Skincare,16/07/2021,LINK_CLICKS,instagram,104983,36873,36873,213
Skincare,17/07/2021,LINK_CLICKS,facebook,444921,43980,40352,866
Skincare,17/07/2021,LINK_CLICKS,instagram,100538,34777,33856,175
Skincare,18/07/2021,LINK_CLICKS,facebook,245459,45581,42192,835
Skincare,18/07/2021,LINK_CLICKS,instagram,97633,40023,38704,199
Skincare,19/07/2021,LINK_CLICKS,facebook,264313,46230,43184,899
Skincare,19/07/2021,LINK_CLICKS,instagram,79037,35088,34096,122
Skincare,20/07/2021,LINK_CLICKS,facebook,234051,66118,62880,1365
Skincare,20/07/2021,LINK_CLICKS,instagram,51813,23042,22432,71
Skincare,21/07/2021,LINK_CLICKS,facebook,291889,57300,54241,1195
Skincare,21/07/2021,LINK_CLICKS,instagram,45956,19223,19223,76
Skincare,22/07/2021,LINK_CLICKS,facebook,239916,54395,50960,1052
Skincare,22/07/2021,LINK_CLICKS,instagram,64217,23071,23071,121
Skincare,23/07/2021,LINK_CLICKS,facebook,295608,49615,45856,983
Skincare,23/07/2021,LINK_CLICKS,instagram,74556,21528,21136,107
Skincare,24/07/2021,LINK_CLICKS,facebook,251282,43186,39585,904
Skincare,24/07/2021,LINK_CLICKS,instagram,74686,22559,22559,134
Skincare,25/07/2021,LINK_CLICKS,facebook,243181,43437,39728,875
Skincare,25/07/2021,LINK_CLICKS,instagram,98714,30010,29552,181
Skincare,26/07/2021,LINK_CLICKS,facebook,192378,38239,36431,822
Skincare,26/07/2021,LINK_CLICKS,instagram,88013,25181,25181,182
Skincare,27/07/2021,LINK_CLICKS,facebook,233508,42526,38592,1008
Skincare,27/07/2021,LINK_CLICKS,instagram,77342,20567,20080,108
Skincare,28/07/2021,LINK_CLICKS,facebook,240903,42600,38782,874
Skincare,28/07/2021,LINK_CLICKS,instagram,129727,31701,31055,220
Skincare,29/07/2021,LINK_CLICKS,facebook,232842,39801,36592,801
Skincare,29/07/2021,LINK_CLICKS,instagram,110003,26505,26505,182
Skincare,30/07/2021,LINK_CLICKS,facebook,245427,41616,38561,795
Skincare,30/07/2021,LINK_CLICKS,instagram,72007,19013,19013,138
Skincare,31/07/2021,LINK_CLICKS,facebook,223389,41695,38095,754
Skincare,31/07/2021,LINK_CLICKS,instagram,71073,23747,23747,148
Skincare,01/08/2021,LINK_CLICKS,facebook,11,1,1,
Skincare,03/08/2021,LINK_CLICKS,facebook,93242,20392,17899,430
Skincare,03/08/2021,LINK_CLICKS,instagram,10604,1608,1608,28
Skincare,04/08/2021,LINK_CLICKS,facebook,105376,23123,20768,460
Skincare,04/08/2021,LINK_CLICKS,instagram,40049,7822,7216,79
Skincare,05/08/2021,LINK_CLICKS,facebook,115133,20558,18090,452
Skincare,05/08/2021,LINK_CLICKS,instagram,74283,13024,12321,105
Skincare,06/08/2021,LINK_CLICKS,facebook,122800,23733,21744,548
Skincare,06/08/2021,LINK_CLICKS,instagram,51831,8798,8176,79
Skincare,07/08/2021,LINK_CLICKS,facebook,171872,32637,29415,665
Skincare,07/08/2021,LINK_CLICKS,instagram,35063,8901,8736,86
Skincare,08/08/2021,LINK_CLICKS,facebook,180335,34524,31048,658
Skincare,08/08/2021,LINK_CLICKS,instagram,19305,6205,6032,35
Skincare,09/08/2021,LINK_CLICKS,facebook,219695,41647,37760,939
Skincare,09/08/2021,LINK_CLICKS,instagram,13017,4296,4296,52
Skincare,10/08/2021,LINK_CLICKS,facebook,337236,65720,60028,1432
Skincare,10/08/2021,LINK_CLICKS,instagram,46044,11345,11135,146
Skincare,11/08/2021,LINK_CLICKS,facebook,349669,77595,69486,1450
Skincare,11/08/2021,LINK_CLICKS,instagram,45643,13522,13328,133
Skincare,12/08/2021,LINK_CLICKS,facebook,356919,78372,71183,1556
Skincare,12/08/2021,LINK_CLICKS,instagram,45807,13610,13312,141
Skincare,13/08/2021,LINK_CLICKS,facebook,320048,66978,60992,1385
Skincare,13/08/2021,LINK_CLICKS,instagram,86013,19022,18144,336
Skincare,14/08/2021,LINK_CLICKS,facebook,301576,59209,54655,1266
Skincare,14/08/2021,LINK_CLICKS,instagram,111621,25044,24879,446
Skincare,15/08/2021,LINK_CLICKS,facebook,390054,66596,61421,1252
Skincare,15/08/2021,LINK_CLICKS,instagram,96844,26278,26278,330
Skincare,16/08/2021,LINK_CLICKS,facebook,271164,59597,54382,1076
Skincare,16/08/2021,LINK_CLICKS,instagram,79032,21989,21263,248
Skincare,17/08/2021,LINK_CLICKS,facebook,313965,55878,52593,1003
Skincare,17/08/2021,LINK_CLICKS,instagram,80527,23408,22945,306
Skincare,18/08/2021,LINK_CLICKS,facebook,237641,59701,56957,1119
Skincare,18/08/2021,LINK_CLICKS,instagram,74788,16820,16703,231
Skincare,19/08/2021,LINK_CLICKS,facebook,218404,49769,47134,933
Skincare,19/08/2021,LINK_CLICKS,instagram,101305,23390,22639,307
Skincare,20/08/2021,LINK_CLICKS,facebook,215160,51924,46958,922
Skincare,20/08/2021,LINK_CLICKS,instagram,102168,25630,25455,307
Skincare,21/08/2021,LINK_CLICKS,facebook,232133,50008,46685,980
Skincare,21/08/2021,LINK_CLICKS,instagram,102205,28720,27982,305
Skincare,22/08/2021,LINK_CLICKS,facebook,240902,51634,48173,1029
Skincare,22/08/2021,LINK_CLICKS,instagram,94582,29924,29614,336
Skincare,23/08/2021,LINK_CLICKS,facebook,226477,44673,42141,1020
Skincare,23/08/2021,LINK_CLICKS,instagram,154464,38383,38383,412
Skincare,24/08/2021,LINK_CLICKS,facebook,231243,43386,39823,951
Skincare,24/08/2021,LINK_CLICKS,instagram,196674,43935,42767,490
Skincare,25/08/2021,LINK_CLICKS,facebook,116215,20786,19487,482
Skincare,25/08/2021,LINK_CLICKS,instagram,84095,17597,17255,226
Skincare,26/08/2021,LINK_CLICKS,facebook,310330,48737,45648,1440
Skincare,26/08/2021,LINK_CLICKS,instagram,43048,13987,13987,158
Skincare,27/08/2021,LINK_CLICKS,facebook,255589,39846,37503,1014
Skincare,27/08/2021,LINK_CLICKS,instagram,115713,28615,28615,302
Skincare,28/08/2021,LINK_CLICKS,facebook,261385,41705,38846,931
Skincare,28/08/2021,LINK_CLICKS,instagram,99103,27093,27093,279
Skincare,29/08/2021,LINK_CLICKS,facebook,255061,46583,43119,967
Skincare,29/08/2021,LINK_CLICKS,instagram,110059,29151,29103,357
Skincare,30/08/2021,LINK_CLICKS,facebook,248534,46689,44543,958
Skincare,30/08/2021,LINK_CLICKS,instagram,100983,29735,28912,271
Skincare,31/08/2021,LINK_CLICKS,facebook,283695,58490,53325,1045
Skincare,31/08/2021,LINK_CLICKS,instagram,67261,21534,21151,174
Skincare,01/09/2021,LINK_CLICKS,facebook,38241,6843,6359,170
Skincare,01/09/2021,LINK_CLICKS,instagram,25314,2948,2870,26
Skincare,02/09/2021,LINK_CLICKS,facebook,69126,11646,10474,240
Skincare,02/09/2021,LINK_CLICKS,instagram,39655,4075,4039,35
Skincare,03/09/2021,LINK_CLICKS,facebook,183460,32860,31624,937
Skincare,03/09/2021,LINK_CLICKS,instagram,59395,11373,11373,117
Skincare,04/09/2021,LINK_CLICKS,facebook,255006,46613,43229,1122
Skincare,04/09/2021,LINK_CLICKS,instagram,101158,26304,25406,245
Skincare,05/09/2021,LINK_CLICKS,facebook,278538,53632,50575,1076
Skincare,05/09/2021,LINK_CLICKS,instagram,98673,32018,30896,230
Skincare,06/09/2021,LINK_CLICKS,facebook,271337,51555,49166,1062
Skincare,06/09/2021,LINK_CLICKS,instagram,108178,26714,26714,213
Skincare,07/09/2021,LINK_CLICKS,facebook,261729,51683,48087,967
Skincare,07/09/2021,LINK_CLICKS,instagram,111938,27429,25966,203
Skincare,08/09/2021,LINK_CLICKS,facebook,243259,49691,47794,955
Skincare,08/09/2021,LINK_CLICKS,instagram,101281,24757,23753,216
Skincare,09/09/2021,LINK_CLICKS,facebook,247803,46514,43368,910
Skincare,09/09/2021,LINK_CLICKS,instagram,112086,22398,22398,144
Skincare,10/09/2021,LINK_CLICKS,facebook,270298,56248,52509,1061
Skincare,10/09/2021,LINK_CLICKS,instagram,88482,21252,20335,167
Skincare,11/09/2021,LINK_CLICKS,facebook,283955,57055,52923,1128
Skincare,11/09/2021,LINK_CLICKS,instagram,69973,21643,21470,118
Skincare,12/09/2021,LINK_CLICKS,facebook,283260,58454,53520,1211
Skincare,12/09/2021,LINK_CLICKS,instagram,94056,26581,25888,172
Skincare,13/09/2021,LINK_CLICKS,facebook,277699,57764,53531,1224
Skincare,13/09/2021,LINK_CLICKS,instagram,106178,28251,27949,199
Skincare,14/09/2021,LINK_CLICKS,facebook,275555,61510,57323,1235
Skincare,14/09/2021,LINK_CLICKS,instagram,73034,21582,21582,156
Skincare,15/09/2021,LINK_CLICKS,facebook,290754,57684,54559,1174
Skincare,15/09/2021,LINK_CLICKS,instagram,44477,11032,10816,83
Skincare,16/09/2021,LINK_CLICKS,facebook,276833,54083,51419,1111
Skincare,16/09/2021,LINK_CLICKS,instagram,57595,12469,12047,111
Skincare,17/09/2021,LINK_CLICKS,facebook,263824,53374,48288,1104
Skincare,17/09/2021,LINK_CLICKS,instagram,74227,18971,18960,153
Skincare,18/09/2021,LINK_CLICKS,facebook,268531,56233,53199,1014
Skincare,18/09/2021,LINK_CLICKS,instagram,66486,16765,16765,153
Skincare,19/09/2021,LINK_CLICKS,facebook,264453,57727,54384,1145
Skincare,19/09/2021,LINK_CLICKS,instagram,60967,20370,20144,161
Skincare,20/09/2021,LINK_CLICKS,facebook,265008,57101,54496,1134
Skincare,20/09/2021,LINK_CLICKS,instagram,49363,16928,16928,128
Skincare,21/09/2021,LINK_CLICKS,facebook,266664,56800,52911,1149
Skincare,21/09/2021,LINK_CLICKS,instagram,70723,15298,14880,156
Skincare,22/09/2021,LINK_CLICKS,facebook,274119,52901,47760,1118
Skincare,22/09/2021,LINK_CLICKS,instagram,83528,14429,13984,156
Skincare,23/09/2021,LINK_CLICKS,facebook,269729,48814,45247,1134
Skincare,23/09/2021,LINK_CLICKS,instagram,74339,13955,13955,130
Skincare,24/09/2021,LINK_CLICKS,facebook,263429,45959,42783,1077
Skincare,24/09/2021,LINK_CLICKS,instagram,84780,14400,13504,108
Skincare,25/09/2021,LINK_CLICKS,facebook,272247,44170,41616,1022
Skincare,25/09/2021,LINK_CLICKS,instagram,110162,17968,17968,147
Skincare,26/09/2021,LINK_CLICKS,facebook,262634,44886,42095,993
Skincare,26/09/2021,LINK_CLICKS,instagram,153834,21457,21457,187
Skincare,27/09/2021,LINK_CLICKS,facebook,250057,43634,40527,975
Skincare,27/09/2021,LINK_CLICKS,instagram,110446,17694,17455,151
Skincare,28/09/2021,LINK_CLICKS,facebook,243584,43962,39887,843
Skincare,28/09/2021,LINK_CLICKS,instagram,75393,13415,13415,147
Skincare,29/09/2021,LINK_CLICKS,facebook,247966,44413,41454,857
Skincare,29/09/2021,LINK_CLICKS,instagram,69855,10793,9872,131
Skincare,30/09/2021,LINK_CLICKS,facebook,235279,40570,37377,860
Skincare,30/09/2021,LINK_CLICKS,instagram,74483,14440,13648,133
Skincare,01/10/2021,LINK_CLICKS,facebook,51706,6790,6303,288
Skincare,01/10/2021,LINK_CLICKS,instagram,59083,8882,8503,64
Skincare,02/10/2021,LINK_CLICKS,facebook,80438,17230,14845,444
Skincare,02/10/2021,LINK_CLICKS,instagram,34313,8528,8382,30
Skincare,03/10/2021,LINK_CLICKS,facebook,86389,22521,18692,480
Skincare,03/10/2021,LINK_CLICKS,instagram,2761,523,523,2
Skincare,04/10/2021,LINK_CLICKS,facebook,223055,54253,50015,1565
Skincare,04/10/2021,LINK_CLICKS,instagram,9520,1752,1602,18
Skincare,05/10/2021,LINK_CLICKS,facebook,369744,90690,82410,2259
Skincare,05/10/2021,LINK_CLICKS,instagram,22763,3443,3443,42
Skincare,06/10/2021,LINK_CLICKS,facebook,395443,104764,96980,2295
Skincare,06/10/2021,LINK_CLICKS,instagram,24826,3837,3837,38
Skincare,07/10/2021,LINK_CLICKS,facebook,394425,101734,93579,2299
Skincare,07/10/2021,LINK_CLICKS,instagram,28255,5085,5085,45
Skincare,08/10/2021,LINK_CLICKS,facebook,384649,85377,80026,1955
Skincare,08/10/2021,LINK_CLICKS,instagram,66504,11202,11202,83
Skincare,09/10/2021,LINK_CLICKS,facebook,396248,78393,71503,1906
Skincare,09/10/2021,LINK_CLICKS,instagram,57507,8735,8176,64
Skincare,10/10/2021,LINK_CLICKS,facebook,402522,86183,80717,1938
Skincare,10/10/2021,LINK_CLICKS,instagram,24622,2682,2528,46
Skincare,11/10/2021,LINK_CLICKS,facebook,399306,93960,88138,2207
Skincare,11/10/2021,LINK_CLICKS,instagram,15198,2085,2085,19
Skincare,12/10/2021,LINK_CLICKS,facebook,392958,86707,81824,2069
Skincare,12/10/2021,LINK_CLICKS,instagram,4129,731,731,5
Skincare,13/10/2021,LINK_CLICKS,facebook,387039,83204,77453,2064
Skincare,13/10/2021,LINK_CLICKS,instagram,35377,5577,5344,51
Skincare,14/10/2021,LINK_CLICKS,facebook,388137,87607,80504,2042
Skincare,14/10/2021,LINK_CLICKS,instagram,44630,7679,7679,67
Skincare,15/10/2021,LINK_CLICKS,facebook,384493,83441,78203,1981
Skincare,15/10/2021,LINK_CLICKS,instagram,17406,2635,2608,19
Skincare,16/10/2021,LINK_CLICKS,facebook,395866,85425,79246,2022
Skincare,16/10/2021,LINK_CLICKS,instagram,4296,847,847,6
Skincare,17/10/2021,LINK_CLICKS,facebook,400389,91023,83070,2200
Skincare,17/10/2021,LINK_CLICKS,instagram,4843,999,960,12
Skincare,18/10/2021,LINK_CLICKS,facebook,379660,83828,76254,1910
Skincare,18/10/2021,LINK_CLICKS,instagram,5552,1029,1008,12
Skincare,19/10/2021,LINK_CLICKS,facebook,378682,78165,72802,1884
Skincare,19/10/2021,LINK_CLICKS,instagram,18862,3016,3016,23
Skincare,20/10/2021,LINK_CLICKS,facebook,376137,94096,85874,1739
Skincare,20/10/2021,LINK_CLICKS,instagram,26126,4302,3552,40
Skincare,21/10/2021,LINK_CLICKS,facebook,361429,88005,77796,1500
Skincare,21/10/2021,LINK_CLICKS,instagram,42450,6677,6430,62
Skincare,22/10/2021,LINK_CLICKS,facebook,361938,90760,83133,1496
Skincare,22/10/2021,LINK_CLICKS,instagram,69300,10493,10493,108
Skincare,23/10/2021,LINK_CLICKS,facebook,376842,90806,80440,1514
Skincare,23/10/2021,LINK_CLICKS,instagram,51831,6994,6559,66
Skincare,24/10/2021,LINK_CLICKS,facebook,371066,80602,72743,1590
Skincare,24/10/2021,LINK_CLICKS,instagram,102612,16557,16222,104
Skincare,25/10/2021,LINK_CLICKS,facebook,345200,74557,67979,1416
Skincare,25/10/2021,APP_INSTALLS,facebook,41097,5892,5634,44
Skincare,25/10/2021,LINK_CLICKS,instagram,102764,17352,17007,101
Skincare,25/10/2021,APP_INSTALLS,instagram,858,640,640,1
Skincare,26/10/2021,APP_INSTALLS,facebook,100641,12828,9714,133
Skincare,26/10/2021,LINK_CLICKS,facebook,358658,63640,58718,1111
Skincare,26/10/2021,APP_INSTALLS,instagram,2206,1514,1514,1
Skincare,26/10/2021,LINK_CLICKS,instagram,70902,10791,10791,72
Skincare,27/10/2021,LINK_CLICKS,facebook,372250,59816,54270,1041
Skincare,27/10/2021,APP_INSTALLS,facebook,106319,13085,10240,152
Skincare,27/10/2021,LINK_CLICKS,instagram,35428,5611,5611,46
Skincare,27/10/2021,APP_INSTALLS,instagram,1108,713,713,
Skincare,28/10/2021,LINK_CLICKS,facebook,346763,56594,52486,842
Skincare,28/10/2021,APP_INSTALLS,facebook,112448,14306,10845,159
Skincare,28/10/2021,LINK_CLICKS,instagram,33968,5011,5011,32
Skincare,28/10/2021,APP_INSTALLS,instagram,1700,624,624,
Skincare,29/10/2021,APP_INSTALLS,facebook,116120,13951,10379,141
Skincare,29/10/2021,LINK_CLICKS,facebook,371224,58447,51931,946
Skincare,29/10/2021,APP_INSTALLS,instagram,2023,847,847,
Skincare,29/10/2021,LINK_CLICKS,instagram,33713,5362,5362,33
Skincare,30/10/2021,LINK_CLICKS,facebook,373793,59728,54619,874
Skincare,30/10/2021,APP_INSTALLS,facebook,117677,14274,10586,145
Skincare,30/10/2021,LINK_CLICKS,instagram,18160,2803,2803,29
Skincare,30/10/2021,APP_INSTALLS,instagram,2780,1333,1268,
Skincare,31/10/2021,LINK_CLICKS,facebook,346528,61673,56141,944
Skincare,31/10/2021,APP_INSTALLS,facebook,116034,16098,12152,145
Skincare,31/10/2021,LINK_CLICKS,instagram,28607,5205,5205,53
Skincare,31/10/2021,APP_INSTALLS,instagram,4151,2127,2127,1
Skincare,01/11/2021,APP_INSTALLS,facebook,110749,18642,14365,172
Skincare,01/11/2021,LINK_CLICKS,facebook,288,86,76,2
Skincare,01/11/2021,APP_INSTALLS,instagram,5202,2746,2611,1
Skincare,01/11/2021,LINK_CLICKS,instagram,39835,6391,6141,42
Skincare,02/11/2021,LINK_CLICKS,facebook,32333,4779,4779,109
Skincare,02/11/2021,APP_INSTALLS,facebook,75079,11012,9118,159
Skincare,02/11/2021,LINK_CLICKS,instagram,41908,7709,7654,49
Skincare,02/11/2021,APP_INSTALLS,instagram,3166,1117,1115,1
Skincare,03/11/2021,APP_INSTALLS,facebook,65948,10521,8560,142
Skincare,03/11/2021,LINK_CLICKS,facebook,165769,24545,22877,735
Skincare,03/11/2021,APP_INSTALLS,instagram,6669,1229,1108,
Skincare,03/11/2021,LINK_CLICKS,instagram,46674,9287,8543,44
Skincare,04/11/2021,APP_INSTALLS,facebook,66973,11823,9699,179
Skincare,04/11/2021,LINK_CLICKS,facebook,370879,66076,59704,1177
Skincare,04/11/2021,APP_INSTALLS,instagram,6350,1284,1276,
Skincare,04/11/2021,LINK_CLICKS,instagram,85721,18338,17614,127
Skincare,05/11/2021,LINK_CLICKS,facebook,391085,69458,62904,1125
Skincare,05/11/2021,APP_INSTALLS,facebook,73177,12163,10293,196
Skincare,05/11/2021,APP_INSTALLS,instagram,630,173,173,
Skincare,05/11/2021,LINK_CLICKS,instagram,69645,13615,13310,73
Skincare,06/11/2021,APP_INSTALLS,facebook,74448,10458,8586,132
Skincare,06/11/2021,LINK_CLICKS,facebook,401332,69519,62926,1039
Skincare,06/11/2021,APP_INSTALLS,instagram,1388,233,233,1
Skincare,06/11/2021,LINK_CLICKS,instagram,54500,11980,11980,61
Skincare,07/11/2021,APP_INSTALLS,facebook,75467,11569,9443,179
Skincare,07/11/2021,LINK_CLICKS,facebook,403861,74644,68907,1002
Skincare,07/11/2021,APP_INSTALLS,instagram,981,268,252,
Skincare,07/11/2021,LINK_CLICKS,instagram,46101,10838,10767,67
Skincare,08/11/2021,APP_INSTALLS,facebook,73488,10587,8629,138
Skincare,08/11/2021,LINK_CLICKS,facebook,392068,68277,62157,1031
Skincare,08/11/2021,LINK_CLICKS,instagram,23138,5122,5122,45
Skincare,08/11/2021,APP_INSTALLS,instagram,1247,291,286,1
Skincare,09/11/2021,APP_INSTALLS,facebook,74154,9723,7798,173
Skincare,09/11/2021,LINK_CLICKS,facebook,358541,62640,57453,914
Skincare,09/11/2021,APP_INSTALLS,instagram,1835,277,250,
